品类,历史tradeId,历史fieldId,字段,类型,历史必填,历史saleProp,Listingify基线来源,CLI本地来源,Listingify基线判断逻辑,CLI缺失处理,create阶段,full-update阶段,incremental阶段,确认状态,CLI代码/验证入口,基线证据
T恤,9655,68486,单位,单选,是,否,FIXED,FIXED,服饰商品计量单位统一为件，除非模板明确另有合法要求。,固定值不缺。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:722
T恤,9655,81182,厂家地址,文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + 企业/吊牌主数据,本地图包/PDF 的可追溯 OCR + 企业/吊牌主数据,优先吊牌/洗唛上的生产者或经销者地址；无实物证据时用已确认企业地址。,缺地址时留空并转合规复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:723
T恤,9655,42559,原产国,文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + 固定业务规则,本地图包/PDF 的可追溯 OCR + 固定业务规则,合规实物证据优先；当前业务默认中国但需证据核对。,无证据可用业务默认并标记复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:724
T恤,9655,68501,原产国(AKC),文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + 固定业务规则,本地图包/PDF 的可追溯 OCR + 固定业务规则,合规实物证据优先；当前业务默认中国但需证据核对。,无证据可用业务默认并标记复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:725
T恤,9655,82370,发货方式,单选,是,否,FIXED,FIXED,服饰商品当前固定快递发货，必须命中模板枚举。,固定值不缺；模板无合法值时留空报警。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:726
T恤,9655,79469,品牌,文本,是,否,MDM_SPU.brand_name；缺失时校验 COPYWRITING 品牌并按巴拉业务默认归一,本地 MDM 导出 SPU 信息.brand_name；缺失时校验 本地文案 Excel 品牌并按巴拉业务默认归一,文本与单选都归一到当前模板合法品牌；MDM 是事实主源，文案只能核对。,无品牌证据留空并转人工；品牌模板必填时阻断。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:727
T恤,9655,84791,品牌(单选),文本,是,否,MDM_SPU.brand_name；缺失时校验 COPYWRITING 品牌并按巴拉业务默认归一,本地 MDM 导出 SPU 信息.brand_name；缺失时校验 本地文案 Excel 品牌并按巴拉业务默认归一,文本与单选都归一到当前模板合法品牌；MDM 是事实主源，文案只能核对。,无品牌证据留空并转人工；品牌模板必填时阻断。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:728
T恤,9655,46831,商品市场价,文本,是,否,MDM_SPU.price_tag,本地 SKU Excel 挂牌单价；全部 SKU 有效且同款一致,吊牌/展示/市场价只取 SPU 吊牌价；价格区间首档数量固定 1。,缺失、非正数或同款冲突阻断；不回退上市计划价,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,本次修复公共价格规则；逐模板待验,src/brands/balabala/prices.ts; tests/balabala-publish-safety.test.ts,balabala-product-field-whitepaper.md:729
T恤,9655,27097,商家SKU,多行/结构文本,是,否,MDM_SKU,本地 SKU Excel,只使用 MDM 真实 SKU 的颜色和尺码组合；交易/供货价取 SKU 价，展示/市场价取 SPU 吊牌价。,无真实 SKU 组合直接阻断；单行缺编码报警。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,禁止普通增量；颜色/尺码仅作完整伴随字段,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:730
T恤,9655,79253,固定发货时间,文本,是,否,FIXED,FIXED,按当前平台履约规则填写固定发货时效。,固定值不缺；模板不接受时留空报警。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:731
T恤,9655,28458,图案,文本,是,否,COPYWRITING + LAUNCH_PLAN + REFERENCE_IMAGE,本地文案 Excel + 本地上市计划 Excel + 本地参考图,优先文案/上市计划明确属性；图片只判断可见结构；枚举字段必须命中模板值。,证据不足留空并人工复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:732
T恤,9655,80103,大于48小时发货,单选,是,否,FIXED,FIXED,当模板要求大于 48 小时发货配置时，选择合法天数枚举。,固定值不缺；无合法枚举则留空报警。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:733
T恤,9655,25676,安全等级,单选,是,否,OCR_HANGTAG/OCR_WASHLABEL,本地图包/PDF 的可追溯 OCR,吊牌/洗唛安全类别优先，枚举字段归一到模板合法值。,缺安全类别时转人工，不用 AI 补。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:734
T恤,9655,27007,尺寸推荐表,多行/结构文本,是,否,PLM_SIZE + APPAREL_SIZE_REFERENCE + MDM_SKU,PLM_SIZE + APPAREL_SIZE_REFERENCE + 本地 SKU Excel,以 MDM 销售尺码为行键；表头取当前模板 options；PLM/7P 长表有真实量点才落列。,无真实量点则留空并阻断需要主尺码表的发布。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:735
T恤,9655,1633,尺码表,多行/结构文本,是,否,PLM_SIZE + APPAREL_SIZE_REFERENCE + MDM_SKU,鞋：内置鞋表或显式本地鞋表；服饰：本地 PLM 量点 + 内置 balabala 参考表,以 MDM 销售尺码为行键；表头取当前模板 options；PLM/7P 长表有真实量点才落列。,鞋半码/缺行/凉鞋结构不明阻断；服饰 PLM 缺量点留空并阻断,主表/多平台在 create；其他支持平台表在建档回读后的 full-update,完整字段集覆盖；先合并远端快照,禁止普通增量；颜色/尺码仅作完整伴随字段,公共尺码规则有回归；逐模板待验,src/brands/balabala/size-charts.ts; src/brands/balabala/size-reference-data.ts,balabala-product-field-whitepaper.md:736
T恤,9655,5740,平车针距12~14针/3cm,文本,是,否,固定工艺规则 + 模板枚举,固定工艺规则 + 模板枚举,按字段名要求填写针距范围或模板合法枚举。,无工艺规则时留空复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:737
T恤,9655,39441,弹力,文本,是,否,COPYWRITING + 面料说明,本地文案 Excel + 面料说明,取文案柔软度/弹性字段或面料说明中明确弹力。,无弹力描述留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:738
T恤,9655,46706,成分含量,文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,吊牌/洗唛合规事实优先；文案材质补充；枚举字段归一到模板值。,无吊牌/洗唛/文案证据则留空或转合规复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:739
T恤,9655,78447,成分含量(文本),文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,吊牌/洗唛合规事实优先；文案材质补充；枚举字段归一到模板值。,无吊牌/洗唛/文案证据则留空或转合规复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:740
T恤,9655,31574,所在地,文本,是,否,FIXED + 企业主数据,FIXED + 企业主数据,按模板层级填写省/市，当前巴拉业务固定为浙江杭州。,固定值不缺；模板只需省时填浙江。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:741
T恤,9655,86611,抖音面料材质,文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,按真实成分归一为材质枚举或文本；优先保留主材质。,无材质证据则留空复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:742
T恤,9655,88063,是否可定制,文本,是,否,FIXED,FIXED,当前巴拉服饰统一不可定制，必须命中模板合法值。,固定值不缺。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:743
T恤,9655,28639,是否新品,单选,是,否,FIXED + LAUNCH_PLAN,FIXED + 本地上市计划 Excel,当前新建档商品按新品处理；如上市计划/业务状态明确非新品则复核。,固定值不缺。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:744
T恤,9655,42812,服装版型,文本,是,否,COPYWRITING + LAUNCH_PLAN + REFERENCE_IMAGE,本地文案 Excel + 本地上市计划 Excel + 本地参考图,优先标准文案版型；裤装可用小类/文案确认直筒、束脚等。,无版型证据留空复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:745
T恤,9655,25970,材质,文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,按真实成分归一为材质枚举或文本；优先保留主材质。,无材质证据则留空复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:746
T恤,9655,27146,材质成分,多行/结构文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,吊牌/洗唛合规事实优先；文案材质补充；枚举字段归一到模板值。,无吊牌/洗唛/文案证据则留空或转合规复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:747
T恤,9655,26485,材质成分(文本),文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,吊牌/洗唛合规事实优先；文案材质补充；枚举字段归一到模板值。,无吊牌/洗唛/文案证据则留空或转合规复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:748
T恤,9655,33924,款式(单选),文本,是,否,LAUNCH_PLAN + COPYWRITING + REFERENCE_IMAGE,本地上市计划 Excel + 本地文案 Excel + 本地参考图,优先上市计划小类/主款式和文案款式；图片只判断可见结构；枚举字段必须命中模板值。,无法唯一判断时留空人工复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:749
T恤,9655,42829,款式(多选),多选,是,否,LAUNCH_PLAN + COPYWRITING + REFERENCE_IMAGE,本地上市计划 Excel + 本地文案 Excel + 本地参考图,优先上市计划小类/主款式和文案款式；图片只判断可见结构；枚举字段必须命中模板值。,无法唯一判断时留空人工复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:750
T恤,9655,81183,生产/经销厂家,文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + 企业主数据,本地图包/PDF 的可追溯 OCR + 企业主数据,优先吊牌/洗唛生产者/经销者名称；缺失时使用已确认企业主体。,缺厂家名称时留空并转合规复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:751
T恤,9655,79251,相对发货时间,文本,是,否,FIXED,FIXED,按当前平台相对发货时效填写天数。,固定值不缺；模板不接受时留空报警。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:752
T恤,9655,26623,类型,文本,是,否,LAUNCH_PLAN + COPYWRITING + REFERENCE_IMAGE,本地上市计划 Excel + 本地文案 Excel + 本地参考图,优先上市计划小类/主款式和文案款式；图片只判断可见结构；枚举字段必须命中模板值。,无法唯一判断时留空人工复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:753
T恤,9655,34992,衣长,文本,是,否,COPYWRITING + REFERENCE_IMAGE + PLM_SIZE,本地文案 Excel + 本地参考图 + PLM_SIZE,优先文案衣长描述；结构表中的衣长数值只进尺码表，不反推款式档位，除非规则明确。,无证据留空复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:754
T恤,9655,42843,袖型,文本,是,否,COPYWRITING + REFERENCE_IMAGE,本地文案 Excel + 本地参考图,从文案或图片识别插肩袖、常规袖等结构。,无证据留空复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:755
T恤,9655,26607,袖长,单选,是,否,COPYWRITING + REFERENCE_IMAGE,本地文案 Excel + 本地参考图,从文案标题/属性或图片可见袖长判断，并校验模板枚举。,看不清且文案无证据时留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:756
T恤,9655,28176,试穿报告表,多行/结构文本,是,否,PLM_SIZE + APPAREL_SIZE_REFERENCE + MDM_SKU,PLM_SIZE + APPAREL_SIZE_REFERENCE + 本地 SKU Excel,以 MDM 销售尺码为行键；表头取当前模板 options；PLM/7P 长表有真实量点才落列。,无真实量点则留空并阻断需要主尺码表的发布。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:757
T恤,9655,56020,货源类别,文本,是,否,LAUNCH_PLAN,本地上市计划 Excel,上市计划属性含现货则填现货；含订货/专供新品时按规则填订货或对应合法值。,无计划属性证据则留空人工确认。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:758
T恤,9655,66088,退款规则,文本,是,否,FIXED,FIXED,按当前售后规则填写模板合法值。,固定值不缺；模板无合法值时留空报警。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:759
T恤,9655,34993,适用人群(多选),多选,是,否,MDM/LAUNCH_PLAN 性别与年龄段 + 当前模板人群 options,MDM/本地上市计划 Excel 性别与年龄段 + 当前模板人群 options,先组合真实年龄段和性别，再归一到模板合法人群；中性/男女通用按模板映射。,无可信来源或无法命中当前模板 options 时留空并转人工；模板必填或代码 ruleBlocking 时阻断。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:760
T恤,9655,28453,适用季节,文本,是,否,MDM_SPU 产品季 + LAUNCH_PLAN 产品季/上市日期,本地 MDM 导出 SPU 信息 产品季 + 本地上市计划 Excel 产品季/上市日期,按有效产品季和日期映射到当前模板季节枚举；不把上市批次数字直接当季节。,无法解析季节时留空并转人工。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:761
T恤,9655,34985,适用季节(多选),多选,是,否,MDM_SPU 产品季 + LAUNCH_PLAN 产品季/上市日期,本地 MDM 导出 SPU 信息 产品季 + 本地上市计划 Excel 产品季/上市日期,按有效产品季和日期映射到当前模板季节枚举；不把上市批次数字直接当季节。,无法解析季节时留空并转人工。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:762
T恤,9655,25692,适用年龄,文本,是,否,MDM/LAUNCH_PLAN 年龄段 + APPAREL_SIZE_REFERENCE 年龄/身高基准,MDM/本地上市计划 Excel 年龄段 + APPAREL_SIZE_REFERENCE 年龄/身高基准,将年龄段解析为闭合区间后命中当前模板最具体合法枚举；服饰优先尺码基准，鞋品优先匹配 chart reference_age。,没有尺码段、基准年龄或明确文案时留空并转人工；开放区间不擅自闭合。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:763
T恤,9655,40771,适用年龄(多选),多选,是,否,MDM/LAUNCH_PLAN 年龄段 + APPAREL_SIZE_REFERENCE 年龄/身高基准,MDM/本地上市计划 Excel 年龄段 + APPAREL_SIZE_REFERENCE 年龄/身高基准,将年龄段解析为闭合区间后命中当前模板最具体合法枚举；服饰优先尺码基准，鞋品优先匹配 chart reference_age。,没有尺码段、基准年龄或明确文案时留空并转人工；开放区间不擅自闭合。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:764
T恤,9655,82806,适用年龄(文本),文本,是,否,MDM/LAUNCH_PLAN 年龄段 + APPAREL_SIZE_REFERENCE 年龄/身高基准,MDM/本地上市计划 Excel 年龄段 + APPAREL_SIZE_REFERENCE 年龄/身高基准,将年龄段解析为闭合区间后命中当前模板最具体合法枚举；服饰优先尺码基准，鞋品优先匹配 chart reference_age。,没有尺码段、基准年龄或明确文案时留空并转人工；开放区间不擅自闭合。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:765
T恤,9655,28454,适用性别,文本,是,否,MDM_SPU/MDM_SKU.gender + LAUNCH_PLAN/COPYWRITING 性别,本地 MDM 导出 SPU 信息/本地 SKU Excel.gender + 本地上市计划 Excel/本地文案 Excel 性别,按 SPU/SKU 真实性别聚合并命中模板枚举；同款多色需保留真实覆盖范围。,性别来源冲突时转人工；无证据留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:766
T恤,9655,40769,适用性别(多选),多选,是,否,MDM_SPU/MDM_SKU.gender + LAUNCH_PLAN/COPYWRITING 性别,本地 MDM 导出 SPU 信息/本地 SKU Excel.gender + 本地上市计划 Excel/本地文案 Excel 性别,按 SPU/SKU 真实性别聚合并命中模板枚举；同款多色需保留真实覆盖范围。,性别来源冲突时转人工；无证据留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:767
T恤,9655,1635,面料,文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,从真实成分和文案面料名称归一；抖音字段必须命中抖音面料材质枚举。,无证据留空并复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:768
T恤,9655,56019,面料工艺,多选,是,否,COPYWRITING + 工艺说明,本地文案 Excel + 工艺说明,只取文案或工艺资料明确出现的面料工艺，并校验模板枚举。,无工艺证据留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:769
T恤,9655,26605,领型,文本,是,否,COPYWRITING + REFERENCE_IMAGE,本地文案 Excel + 本地参考图,图片可见领口结构可辅助判断；最终值必须命中模板枚举。,领口不可见且文案缺失时留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:770
